Age,primary_location,Gender,Saavnify_usage_period,Saavnify_listening_device,Saavnify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
35-60,Chandigarh,Male,1 year to 2 years,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,Social/Party,Workout,Radio,5,Once a week,Comedy,Educational,None,Shorter,Ok
12-20,Ahmedabad,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Afternoon,Sad/Melancholic,Travel,Radio,3,Several times a week,Health and Fitness,Story telling,Both,Longer,Very Satisfied
12-20,Ahmedabad,Female,1 year to 2 years,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Classical,Afternoon,Uplifting/Motivational,Study,Radio,3,Rarely,Lifestyle and Health,Conversational,unknown Podcasters,Longer,Satisfied
20-35,Delhi,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,Relaxation/Stress Relief,Leisure,Others,4,Never,None,None,None,None,Ok
12-20,Jaipur,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation/Stress Relief,Study,Radio,3,Once a week,Food and Cooking,Story telling,Well known individuals,Shorter,Ok
35-60,Pune,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Podcast,Classical,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Daily,Comedy,Conversational,Well known individuals,Shorter,Satisfied
12-20,Kolkata,Others,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Morning,Uplifting/Motivational,Travel,Radio,3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied
20-35,Delhi,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Several times a week,Comedy,None,Both,Shorter,Ok
20-35,Mumbai,Male,6 months to 1 year,PC or Laptop,Free (ad-supported),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Sad/Melancholic,Travel,Playlists,3,Several times a week,Sports,Interview,Both,Both,Very Satisfied
12-20,Kolkata,Male,6 months to 1 year,PC or Laptop,Free (ad-supported),No,None,Podcast,Rap,Afternoon,Uplifting/Motivational,Study,Others,3,Once a week,Sports,Conversational,unknown Podcasters,Both,Ok
20-35,Jaipur,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Mumbai,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Electronic/Dance,Night,Relaxation/Stress Relief,Office,Playlists,5,Several times a week,Comedy,Educational,Well known individuals,Both,Very Satisfied
35-60,Delhi,Others,More than 2 years,Smart Speakers or Voice Assistants,Free (ad-supported),No,None,Podcast,Classical,Morning,Uplifting/Motivational,Travel,Recommendations,4,Once a week,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Satisfied
20-35,Pune,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
20-35,Bengaluru,Female,Less than 6 months,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Classical,Night,Relaxation/Stress Relief,Office,Playlists,3,Never,Lifestyle and Health,None,Both,Longer,Satisfied
20-35,Ahmedabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Recommendations,3,Never,None,None,None,None,Ok
12-20,Chandigarh,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Comedy,Conversational,Both,Shorter,Very Satisfied
20-35,Pune,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,Food and Cooking,Story telling,None,None,Ok
20-35,Delhi,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Rap,Night,Relaxation/Stress Relief,Office,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Ok
20-35,Chennai,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Leisure,Playlists,3,Never,Sports,None,Both,Shorter,Ok
20-35,Mumbai,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,3,Never,None,None,None,None,Ok
20-35,Delhi,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Pune,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Leisure,Recommendations,3,Never,None,None,None,None,Ok
20-35,Bengaluru,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation/Stress Relief,Office,Recommendations,5,Never,None,Story telling,None,None,Very Satisfied
20-35,Mumbai,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Rarely,None,Story telling,None,None,Ok
20-35,Ahmedabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,Relaxation/Stress Relief,Office,Recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
20-35,Chennai,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Classical,Night,Relaxation/Stress Relief,Leisure,Recommendations,4,Never,None,None,None,None,Ok
20-35,Chennai,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,3,Rarely,None,Interview,None,None,Ok
20-35,Bengaluru,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Sad/Melancholic,Leisure,Playlists,4,Never,None,Educational,Both,Shorter,Satisfied
20-35,Bengaluru,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Morning,Relaxation/Stress Relief,Office,Recommendations,4,Never,None,None,None,None,Ok
20-35,Pune,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Study,Others,4,Rarely,None,Educational,Well known individuals,Shorter,Ok
20-35,Delhi,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation/Stress Relief,Leisure,Recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Kolkata,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Very Satisfied
20-35,Pune,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Several times a week,None,None,None,None,Ok
20-35,Kolkata,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,None,None,None,None,Ok
20-35,Hyderabad,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,5,Rarely,None,Interview,None,None,Ok
20-35,Chandigarh,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,K-Pop,Night,Relaxation/Stress Relief,Office,Recommendations,5,Once a week,Comedy,Conversational,None,Shorter,Very Satisfied
20-35,Bengaluru,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
20-35,Ahmedabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
20-35,Bengaluru,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,Classical,Night,Relaxation/Stress Relief,Leisure,Recommendations,1,Never,None,None,None,None,Ok
20-35,Bengaluru,Male,More than 2 years,Smartphone,Premium (paid subscription),No,None,Music,All,Night,Relaxation/Stress Relief,Office,Recommendations,2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Ok
20-35,Chandigarh,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Ok
20-35,Hyderabad,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Leisure,Playlists,1,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied
20-35,Pune,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,5,Never,None,None,None,None,Ok
20-35,Chandigarh,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation/Stress Relief,Travel,Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Ok
20-35,Delhi,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting/Motivational,Travel,Recommendations,4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
20-35,Delhi,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Night,Relaxation/Stress Relief,Workout,Recommendations,4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
20-35,Ahmedabad,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation/Stress Relief,Office,Recommendations,4,Never,None,None,None,None,Ok
20-35,Ahmedabad,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Podcast,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied
12-20,Pune,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation/Stress Relief,Travel,Recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
20-35,Bengaluru,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation/Stress Relief,Travel,Recommendations,4,Never,None,None,None,None,Ok
